tpep_dropoff_datetime,tpep_pickup_datetime,dropoff_longitude,dropoff_latitude,pickup_longitude,pickup_latitude,trip_distance,total_amount,tip_amount
2015-09-07 20:24:38,2015-09-06 20:26:11,-73.995330810546875,40.754901885986328,-74.0078125,40.712371826171875,3.64,17.93,1.63
2015-09-07 20:15:19,2015-09-06 20:17:58,-73.985008239746094,40.756034851074219,-74.011459350585937,40.702720642089844,5.93,26.3,0
2015-09-07 19:51:20,2015-09-06 20:27:40,-73.992851257324219,40.756023406982422,-73.776443481445312,40.645603179931641,18.39,58.34,0
2015-09-07 20:06:02,2015-09-06 20:22:55,-73.970405578613281,40.749122619628906,-73.98345947265625,40.747859954833984,.95,8.3,0
2015-09-07 20:21:08,2015-09-06 20:25:27,-73.983467102050781,40.775726318359375,-74.003463745117188,40.753696441650391,5.88,20.8,0
2015-09-07 19:32:10,2015-09-06 20:23:18,-73.979156494140625,40.776618957519531,-73.966239929199219,40.76177978515625,1.65,9.8,1
2015-09-07 20:05:06,2015-09-06 20:14:31,-73.974357604980469,40.756931304931641,-73.996696472167969,40.7376708984375,2.14,12.96,2.16
2015-09-07 20:08:32,2015-09-06 20:37:38,-73.995429992675781,40.730804443359375,-73.975143432617188,40.752212524414063,2.21,12.74,2.94
2015-09-07 20:33:38,2015-09-06 20:44:17,-73.970565795898438,40.789222717285156,-73.983848571777344,40.7669677734375,2.14,9.8,0
2015-09-07 20:27:30,2015-09-06 20:36:38,-73.986930847167969,40.722343444824219,-73.987640380859375,40.738258361816406,1.58,10.78,0.98
2015-09-07 20:51:39,2015-09-06 21:01:57,-73.951644897460937,40.725475311279297,-74.000465393066406,40.717330932617188,4.23,20.16,3.36
2015-09-07 20:39:15,2015-09-06 20:46:33,-73.948806762695312,40.774021148681641,-73.957557678222656,40.773948669433594,.66,6.3,0
2015-09-07 20:45:17,2015-09-06 20:48:56,-73.974205017089844,40.695690155029297,-73.987281799316406,40.693973541259766,.84,7.82,1.02
2015-09-07 18:37:15,2015-09-06 20:46:55,-74.016212463378906,40.715072631835938,-73.982276916503906,40.762722015380859,4.95,19.8,0
2015-09-07 20:49:48,2015-09-06 20:55:07,-74.001564025878906,40.732093811035156,-73.997856140136719,40.736827850341797,.60,5.8,0
2015-09-07 20:20:17,2015-09-06 21:12:07,-73.993766784667969,40.749950408935547,-73.983360290527344,40.734199523925781,1.58,8.8,0
2015-09-07 20:39:02,2015-09-06 21:08:16,-73.940963745117187,40.83428955078125,-73.974128723144531,40.79132080078125,3.47,14.8,0
